employee_id,review_cycle,overall_rating,manager_rating,self_rating,review_completed_date,review_status
EMP-0023,2021-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-07-13,Completed
EMP-0023,2021-H2,Meets,Meets,Meets,2022-01-15,Completed
EMP-0023,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-16,Completed
EMP-0023,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-18,Completed
EMP-0023,2023-H1,Exceeds,Exceeds,Significantly Exceeds,2023-07-14,Completed
EMP-0023,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-15,Completed
EMP-0023,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-17,Completed
EMP-0023,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-16,Completed
EMP-0024,2020-H2,Exceeds,Exceeds,Exceeds,2021-01-15,Completed
EMP-0024,2021-H1,Exceeds,Exceeds,Significantly Exceeds,2021-07-13,Completed
EMP-0024,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-13,Completed
EMP-0024,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-14,Completed
EMP-0024,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-20,Completed
EMP-0024,2023-H1,Meets,Meets,Meets,2023-07-17,Completed
EMP-0024,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-17,Completed
EMP-0024,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-20,Completed
EMP-0024,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-12,Completed
EMP-0025,2020-H2,Exceeds,Exceeds,Significantly Exceeds,2021-01-13,Incomplete
EMP-0025,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-10,Completed
EMP-0025,2021-H2,Exceeds,Exceeds,Significantly Exceeds,2022-01-13,Completed
EMP-0025,2022-H1,Meets,Meets,Meets,2022-07-13,Completed
EMP-0025,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-20,Completed
EMP-0025,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-12,Completed
EMP-0025,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-17,Completed
EMP-0025,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-14,Completed
EMP-0025,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-20,Completed
EMP-0026,2020-H2,Exceeds,Exceeds,Exceeds,2021-01-10,Completed
EMP-0026,2021-H1,Significantly Exceeds,Exceeds,Significantly Exceeds,2021-07-10,Completed
EMP-0026,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-14,Completed
EMP-0026,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-13,Incomplete
EMP-0026,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-19,Completed
EMP-0026,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-15,Completed
EMP-0026,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-10,Completed
EMP-0026,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-18,Completed
EMP-0026,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-17,Completed
EMP-0027,2020-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-01-12,Completed
EMP-0027,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-16,Completed
EMP-0027,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-19,Completed
EMP-0027,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-18,Completed
EMP-0027,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-20,Completed
EMP-0027,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-17,Completed
EMP-0027,2023-H2,Meets,Meets,Meets,2024-01-13,Completed
EMP-0027,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-16,Completed
EMP-0027,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-11,Completed
EMP-0028,2020-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-01-19,Completed
EMP-0028,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-11,Completed
EMP-0028,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-14,Completed
EMP-0028,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-13,Completed
EMP-0028,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-17,Completed
EMP-0028,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-10,Completed
EMP-0028,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-13,Completed
EMP-0028,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-12,Completed
EMP-0028,2024-H2,Meets,Meets,Meets,2025-01-15,Completed
EMP-0029,2021-H1,Meets,Meets,Meets,2021-07-19,Completed
EMP-0029,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-15,Completed
EMP-0029,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-16,Completed
EMP-0029,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-11,Completed
EMP-0029,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-20,Completed
EMP-0029,2023-H2,Meets,Meets,Meets,2024-01-19,Completed
EMP-0029,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-15,Completed
EMP-0029,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-13,Completed
EMP-003,2022-H1,Exceeds,Significantly Exceeds,Exceeds,2022-07-19,Exempt
EMP-003,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-15,Exempt
EMP-003,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-13,Exempt
EMP-003,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-18,Exempt
EMP-003,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-10,Exempt
EMP-003,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-12,Exempt
EMP-0030,2021-H1,Meets,Meets,Meets,2021-07-19,Completed
EMP-0030,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-12,Completed
EMP-0030,2022-H1,Exceeds,Exceeds,Significantly Exceeds,2022-07-11,Completed
EMP-0030,2022-H2,Exceeds,Exceeds,Significantly Exceeds,2023-01-20,Completed
EMP-0030,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-14,Completed
EMP-0030,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-20,Completed
EMP-0030,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-19,Completed
EMP-0030,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-18,Completed
EMP-0031,2021-H1,Exceeds,Meets,Exceeds,2021-07-14,Completed
EMP-0031,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-16,Completed
EMP-0031,2022-H1,Exceeds,Meets,Exceeds,2022-07-18,Completed
EMP-0031,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-19,Completed
EMP-0031,2023-H1,Exceeds,Exceeds,Significantly Exceeds,2023-07-17,Completed
EMP-0031,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-19,Completed
EMP-0031,2024-H1,Meets,Meets,Meets,2024-07-12,Completed
EMP-0031,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-19,Completed
EMP-0032,2021-H1,Exceeds,Exceeds,Significantly Exceeds,2021-07-20,Completed
EMP-0032,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-20,Completed
EMP-0032,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-18,Completed
EMP-0032,2022-H2,Exceeds,Exceeds,Significantly Exceeds,2023-01-12,Completed
EMP-0032,2023-H1,Meets,Meets,Meets,2023-07-12,Completed
EMP-0032,2023-H2,Exceeds,Exceeds,Significantly Exceeds,2024-01-16,Completed
EMP-0032,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-17,Completed
EMP-0032,2024-H2,Meets,Meets,Meets,2025-01-20,Completed
EMP-0033,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-10,Completed
EMP-0033,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-11,Completed
EMP-0033,2022-H1,Meets,Meets,Exceeds,2022-07-10,Incomplete
EMP-0033,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-12,Completed
EMP-0033,2023-H1,Meets,Meets,Meets,2023-07-12,Completed
EMP-0033,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-17,Incomplete
EMP-0033,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-13,Completed
EMP-0033,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-15,Completed
EMP-0034,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-10,Completed
EMP-0034,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-18,Completed
EMP-0034,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-15,Completed
EMP-0034,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-16,Completed
EMP-0034,2023-H2,Meets,Meets,Meets,2024-01-18,Completed
EMP-0034,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-16,Completed
EMP-0034,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-15,Completed
EMP-0035,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-20,Completed
EMP-0035,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-13,Completed
EMP-0035,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-19,Completed
EMP-0035,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-17,Completed
EMP-0035,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-12,Completed
EMP-0035,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-15,Completed
EMP-0035,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-11,Completed
EMP-0035,2024-H2,Meets,Meets,Meets,2025-01-12,Completed
EMP-0036,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-20,Completed
EMP-0036,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-11,Completed
EMP-0036,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-18,Completed
EMP-0036,2022-H2,Exceeds,Meets,Exceeds,2023-01-20,Completed
EMP-0036,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-15,Completed
EMP-0036,2023-H2,Meets,Meets,Meets,2024-01-14,Completed
EMP-0036,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-16,Completed
EMP-0036,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-10,Completed
EMP-0037,2021-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-07-16,Completed
EMP-0037,2021-H2,Meets,Partially Meets,Meets,2022-01-20,Completed
EMP-0037,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-12,Completed
EMP-0037,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-12,Completed
EMP-0037,2023-H1,Meets,Meets,Meets,2023-07-18,Incomplete
EMP-0037,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-13,Completed
EMP-0037,2024-H1,Meets,Meets,Meets,2024-07-10,Completed
EMP-0037,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-13,Completed
EMP-0038,2021-H2,Exceeds,Significantly Exceeds,Exceeds,2022-01-14,Completed
EMP-0038,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-10,Completed
EMP-0038,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-12,Completed
EMP-0038,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-20,Completed
EMP-0038,2023-H2,Significantly Exceeds,Exceeds,Significantly Exceeds,2024-01-11,Completed
EMP-0038,2024-H1,Exceeds,Exceeds,Exceeds,2024-07-14,Completed
EMP-0038,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-14,Incomplete
EMP-0039,2021-H2,Meets,Exceeds,Exceeds,2022-01-10,Completed
EMP-0039,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-18,Completed
EMP-0039,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-19,Completed
EMP-0039,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-10,Completed
EMP-0039,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-10,Completed
EMP-0039,2024-H1,Exceeds,Significantly Exceeds,Exceeds,2024-07-19,Completed
EMP-0039,2024-H2,Exceeds,Exceeds,Significantly Exceeds,2025-01-14,Completed
EMP-004,2021-H2,Meets,Meets,Meets,2022-01-18,Exempt
EMP-004,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-15,Exempt
EMP-004,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-14,Exempt
EMP-004,2023-H1,Meets,Meets,Meets,2023-07-11,Exempt
EMP-004,2023-H2,Meets,Meets,Exceeds,2024-01-11,Exempt
EMP-004,2024-H1,Exceeds,Meets,Significantly Exceeds,2024-07-19,Exempt
EMP-004,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-12,Exempt
EMP-0040,2021-H2,Exceeds,Exceeds,Significantly Exceeds,2022-01-12,Completed
EMP-0040,2022-H1,Significantly Exceeds,Exceeds,Significantly Exceeds,2022-07-18,Completed
EMP-0040,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-11,Completed
EMP-0040,2023-H1,Meets,Meets,Meets,2023-07-14,Completed
EMP-0040,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-20,Completed
EMP-0040,2024-H1,Meets,Meets,Exceeds,2024-07-18,Completed
EMP-0040,2024-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2025-01-18,Incomplete
EMP-0041,2021-H1,Exceeds,Exceeds,Significantly Exceeds,2021-07-10,Completed
EMP-0041,2021-H2,Exceeds,Exceeds,Significantly Exceeds,2022-01-19,Incomplete
EMP-0041,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-10,Completed
EMP-0041,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-17,Completed
EMP-0041,2023-H1,Exceeds,Exceeds,Significantly Exceeds,2023-07-11,Completed
EMP-0041,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-18,Completed
EMP-0041,2024-H1,Meets,Meets,Meets,2024-07-16,Completed
EMP-0041,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-10,Completed
EMP-0042,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-11,Completed
EMP-0042,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-16,Completed
EMP-0042,2022-H2,Meets,Meets,Meets,2023-01-14,Completed
EMP-0042,2023-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-07-19,Completed
EMP-0042,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-12,Incomplete
EMP-0042,2024-H1,Meets,Meets,Meets,2024-07-20,Completed
EMP-0042,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-11,Completed
EMP-0043,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-14,Completed
EMP-0043,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-11,Completed
EMP-0043,2022-H2,Exceeds,Exceeds,Significantly Exceeds,2023-01-10,Completed
EMP-0043,2023-H1,Exceeds,Exceeds,Significantly Exceeds,2023-07-20,Completed
EMP-0043,2023-H2,Meets,Meets,Meets,2024-01-14,Completed
EMP-0043,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-12,Completed
EMP-0043,2024-H2,Meets,Exceeds,Meets,2025-01-19,Completed
EMP-0044,2021-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-07-20,Completed
EMP-0044,2021-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-01-15,Completed
EMP-0044,2022-H1,Exceeds,Exceeds,Exceeds,2022-07-11,Completed
EMP-0044,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-13,Completed
EMP-0044,2023-H1,Exceeds,Exceeds,Exceeds,2023-07-20,Completed
EMP-0044,2023-H2,Exceeds,Exceeds,Significantly Exceeds,2024-01-20,Completed
EMP-0044,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-14,Completed
EMP-0044,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-12,Completed
EMP-0045,2021-H1,Exceeds,Exceeds,Exceeds,2021-07-20,Completed
EMP-0045,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-20,Completed
EMP-0045,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-17,Completed
EMP-0045,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-15,Completed
EMP-0045,2023-H1,Exceeds,Exceeds,Significantly Exceeds,2023-07-19,Completed
EMP-0045,2023-H2,Exceeds,Significantly Exceeds,Exceeds,2024-01-15,Completed
EMP-0045,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-12,Completed
EMP-0045,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-11,Incomplete
EMP-0046,2021-H2,Meets,Meets,Meets,2022-01-18,Completed
EMP-0046,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-16,Completed
EMP-0046,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-17,Completed
EMP-0046,2023-H1,Meets,Meets,Exceeds,2023-07-11,Completed
EMP-0046,2023-H2,Exceeds,Meets,Significantly Exceeds,2024-01-10,Completed
EMP-0046,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-11,Completed
EMP-0046,2024-H2,Exceeds,Exceeds,Exceeds,2025-01-19,Completed
EMP-0047,2022-H2,Meets,Meets,Meets,2023-01-18,Completed
EMP-0048,2021-H2,Does Not Meet,Does Not Meet,Does Not Meet,2022-01-14,Completed
EMP-0048,2022-H1,Meets,Meets,Exceeds,2022-07-18,Completed
EMP-0048,2022-H2,Meets,Meets,Exceeds,2023-01-14,Completed
EMP-005,2023-H2,Exceeds,Exceeds,Exceeds,2024-01-13,Exempt
EMP-005,2024-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-07-17,Exempt
EMP-005,2024-H2,Meets,Meets,Meets,2025-01-10,Exempt
EMP-0050,2022-H1,Meets,Meets,Meets,2022-07-16,Completed
EMP-0050,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-14,Completed
EMP-0051,2022-H1,Meets,Partially Meets,Meets,2022-07-13,Completed
EMP-0051,2022-H2,Meets,Meets,Meets,2023-01-15,Completed
EMP-0052,2022-H2,Partially Meets,Partially Meets,Partially Meets,2023-01-17,Completed
EMP-0053,2022-H1,Meets,Meets,Meets,2022-07-11,Completed
EMP-0053,2022-H2,Partially Meets,Partially Meets,Partially Meets,2023-01-20,Completed
EMP-0054,2022-H1,Meets,Meets,Exceeds,2022-07-16,Completed
EMP-0054,2022-H2,Meets,Exceeds,Meets,2023-01-18,Completed
EMP-0055,2021-H2,Meets,Meets,Exceeds,2022-01-16,Completed
EMP-0055,2022-H1,Partially Meets,Does Not Meet,Partially Meets,2022-07-18,Completed
EMP-0055,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-13,Completed
EMP-0056,2022-H2,Partially Meets,Partially Meets,Meets,2023-01-20,Completed
EMP-0057,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-14,Completed
EMP-0057,2022-H1,Meets,Meets,Exceeds,2022-07-17,Completed
EMP-0057,2022-H2,Meets,Meets,Meets,2023-01-16,Completed
EMP-0058,2022-H2,Meets,Meets,Meets,2023-01-11,Incomplete
EMP-0059,2021-H2,Partially Meets,Partially Meets,Meets,2022-01-19,Completed
EMP-0059,2022-H1,Meets,Meets,Exceeds,2022-07-11,Completed
EMP-0059,2022-H2,Meets,Meets,Exceeds,2023-01-17,Completed
EMP-006,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-17,Exempt
EMP-006,2024-H1,Exceeds,Exceeds,Significantly Exceeds,2024-07-16,Exempt
EMP-006,2024-H2,Exceeds,Exceeds,Significantly Exceeds,2025-01-13,Exempt
EMP-0060,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-13,Completed
EMP-0060,2022-H1,Meets,Meets,Exceeds,2022-07-12,Completed
EMP-0060,2022-H2,Exceeds,Exceeds,Exceeds,2023-01-12,Completed
EMP-0061,2022-H2,Does Not Meet,Does Not Meet,Does Not Meet,2023-01-19,Completed
EMP-0062,2021-H2,Partially Meets,Partially Meets,Meets,2022-01-19,Completed
EMP-0062,2022-H1,Meets,Meets,Meets,2022-07-10,Incomplete
EMP-0062,2022-H2,Meets,Partially Meets,Meets,2023-01-13,Completed
EMP-0063,2022-H2,Meets,Meets,Meets,2023-01-11,Completed
EMP-0064,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-14,Completed
EMP-0064,2022-H1,Partially Meets,Partially Meets,Meets,2022-07-10,Completed
EMP-0064,2022-H2,Partially Meets,Partially Meets,Partially Meets,2023-01-12,Completed
EMP-0065,2021-H2,Exceeds,Meets,Exceeds,2022-01-20,Completed
EMP-0065,2022-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2022-07-16,Completed
EMP-0065,2022-H2,Meets,Meets,Meets,2023-01-18,Completed
EMP-0066,2022-H2,Meets,Partially Meets,Meets,2023-01-10,Completed
EMP-0067,2022-H1,Meets,Meets,Meets,2022-07-16,Completed
EMP-0067,2022-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2023-01-16,Completed
EMP-0068,2021-H1,Meets,Meets,Exceeds,2021-07-20,Completed
EMP-0068,2021-H2,Does Not Meet,Does Not Meet,Partially Meets,2022-01-20,Completed
EMP-0068,2022-H1,Meets,Meets,Meets,2022-07-10,Completed
EMP-0068,2022-H2,Partially Meets,Partially Meets,Partially Meets,2023-01-15,Completed
EMP-0069,2021-H2,Meets,Meets,Meets,2022-01-15,Completed
EMP-0069,2022-H1,Does Not Meet,Does Not Meet,Does Not Meet,2022-07-20,Completed
EMP-0069,2022-H2,Exceeds,Exceeds,Significantly Exceeds,2023-01-16,Completed
EMP-007,2020-H2,Exceeds,Exceeds,Exceeds,2021-01-11,Completed
EMP-007,2021-H1,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2021-07-13,Completed
EMP-007,2021-H2,Exceeds,Exceeds,Exceeds,2022-01-20,Completed
EMP-007,2022-H1,Exceeds,Meets,Exceeds,2022-07-11,Completed
EMP-007,2022-H2,Meets,Meets,Meets,2023-01-19,Completed
EMP-007,2023-H1,Exceeds,Exceeds,Significantly Exceeds,2023-07-17,Completed
EMP-007,2023-H2,Significantly Exceeds,Significantly Exceeds,Significantly Exceeds,2024-01-12,Completed
