employee_id,salary,comp_band_min,comp_band_mid,comp_band_max,effective_date,change_reason
EMP-0030,114500,88000,101000,114500,2021-03-27,New Hire
EMP-0030,119500,92000,106000,119500,2022-01-15,Annual Review
EMP-0030,123500,95000,109000,123500,2023-01-15,Annual Review
EMP-0030,127500,98000,112500,127500,2024-01-15,Annual Review
EMP-0030,130000,100000,115000,130000,2025-01-15,Annual Review
EMP-0031,99500,77500,90000,102000,2021-04-07,New Hire
EMP-0031,104000,81000,94000,106500,2022-01-15,Annual Review
EMP-0031,126500,126500,144500,161500,2023-04-04,Promotion
EMP-0031,133000,126500,144500,161500,2023-09-01,Market Adjustment
EMP-0031,139500,130500,149000,166500,2024-01-15,Annual Review
EMP-0031,146000,133000,152000,170000,2025-01-15,Annual Review
EMP-0032,192000,153000,174000,195500,2021-03-16,New Hire
EMP-0032,201000,160000,182000,204000,2022-01-15,Annual Review
EMP-0032,209000,165500,188000,211000,2023-01-15,Annual Review
EMP-0032,211000,165500,188000,211000,2023-09-01,Market Adjustment
EMP-0032,217500,170500,194000,217500,2024-01-15,Annual Review
EMP-0032,222000,174000,198000,222000,2025-01-15,Annual Review
EMP-0033,195500,153000,174000,195500,2021-01-25,New Hire
EMP-0033,203500,160000,182000,204000,2022-01-15,Annual Review
EMP-0033,227000,211000,231000,251000,2023-02-27,Promotion
EMP-0033,242000,211000,231000,251000,2023-09-01,Market Adjustment
EMP-0033,252000,217500,238000,258500,2024-01-15,Annual Review
EMP-0033,262500,222000,243000,264000,2025-01-15,Annual Review
EMP-0034,195500,153000,174000,195500,2021-05-21,New Hire
EMP-0034,204000,160000,182000,204000,2022-01-15,Annual Review
EMP-0034,188000,148000,168000,188000,2023-04-26,Promotion
EMP-0034,194000,153000,173500,194000,2024-01-15,Annual Review
EMP-0034,198000,156000,177000,198000,2025-01-15,Annual Review
EMP-0035,140500,106500,123500,140500,2021-04-13,New Hire
EMP-0035,146500,111500,129000,146500,2022-01-15,Annual Review
EMP-0035,164500,136000,154000,172500,2023-04-07,Promotion
EMP-0035,172500,136000,154000,172500,2023-09-01,Market Adjustment
EMP-0035,178000,140000,159000,178000,2024-01-15,Annual Review
EMP-0035,181500,143000,162000,181500,2025-01-15,Annual Review
EMP-0036,174000,137500,156000,174000,2021-01-15,New Hire
EMP-0036,182000,143500,163000,182000,2022-01-15,Annual Review
EMP-0036,188000,148000,168000,188000,2023-01-15,Annual Review
EMP-0036,194000,153000,173500,194000,2024-01-15,Annual Review
EMP-0036,198000,156000,177000,198000,2025-01-15,Annual Review
EMP-0037,156500,123000,141000,156500,2021-03-20,New Hire
EMP-0037,164000,129000,147000,164000,2022-01-15,Annual Review
EMP-0037,141500,111000,126500,141500,2023-03-26,Promotion
EMP-0037,146000,114500,130500,146000,2024-01-15,Annual Review
EMP-0037,149000,117000,133000,149000,2025-01-15,Annual Review
EMP-0038,145000,114500,130000,145000,2021-04-24,New Hire
EMP-0038,152000,119500,135500,152000,2022-01-15,Annual Review
EMP-0038,157000,123500,140000,157000,2023-01-15,Annual Review
EMP-0038,161500,127500,144500,161500,2024-01-15,Annual Review
EMP-0038,165000,130000,147500,165000,2025-01-15,Annual Review
EMP-0039,195500,153000,174000,195500,2021-05-08,New Hire
EMP-0039,203500,160000,182000,204000,2022-01-15,Annual Review
EMP-0039,211000,165500,188000,211000,2023-01-15,Annual Review
EMP-0039,217500,170500,194000,217500,2024-01-15,Annual Review
EMP-0039,222000,174000,198000,222000,2025-01-15,Annual Review
EMP-004,376000,281500,334500,387000,2021-06-01,New Hire
EMP-004,393500,294500,349500,405000,2022-01-15,Annual Review
EMP-004,411000,304000,361000,418000,2023-01-15,Annual Review
EMP-004,418000,304000,361000,418000,2023-09-01,Market Adjustment
EMP-004,431000,313500,372500,431000,2024-01-15,Annual Review
EMP-004,440000,320000,380000,440000,2025-01-15,Annual Review
EMP-0040,153000,116000,134500,153000,2021-05-24,New Hire
EMP-0040,160000,121500,141000,160000,2022-01-15,Annual Review
EMP-0040,183000,165500,188000,211000,2023-04-27,Promotion
EMP-0040,192500,165500,188000,211000,2023-09-01,Market Adjustment
EMP-0040,200500,170500,194000,217500,2024-01-15,Annual Review
EMP-0040,210000,174000,198000,222000,2025-01-15,Annual Review
EMP-0041,142500,108000,125500,142500,2021-02-24,New Hire
EMP-0041,152000,119500,135500,152000,2022-07-07,Promotion
EMP-0041,157000,123500,140000,157000,2023-09-01,Market Adjustment
EMP-0041,180000,157000,173500,190000,2023-11-18,Promotion
EMP-0041,188000,161500,179000,196000,2024-01-15,Annual Review
EMP-0041,196500,165000,182500,200000,2025-01-15,Annual Review
EMP-0042,155000,121500,138000,155000,2021-05-29,New Hire
EMP-0042,162000,127000,144500,162000,2022-01-15,Annual Review
EMP-0042,167000,131000,149000,167000,2023-01-15,Annual Review
EMP-0042,172500,135000,154000,172500,2024-01-15,Annual Review
EMP-0042,176000,138000,157000,176000,2025-01-15,Annual Review
EMP-0043,117000,89000,103000,117000,2021-06-30,New Hire
EMP-0043,133000,107500,122500,137000,2022-09-29,Promotion
EMP-0043,140000,111000,126500,141500,2023-09-01,Market Adjustment
EMP-0043,159500,133000,147000,161500,2023-12-30,Promotion
EMP-0043,166500,137000,152000,166500,2024-01-15,Annual Review
EMP-0043,170000,140000,155000,170000,2025-01-15,Annual Review
EMP-0044,174000,137500,156000,174000,2021-02-16,New Hire
EMP-0044,182000,143500,163000,182000,2022-01-15,Annual Review
EMP-0044,188000,148000,168000,188000,2023-01-15,Annual Review
EMP-0044,194000,153000,173500,194000,2024-01-15,Annual Review
EMP-0044,198000,156000,177000,198000,2025-01-15,Annual Review
EMP-0045,195000,153000,174000,195500,2021-04-09,New Hire
EMP-0045,182000,143500,163000,182000,2022-08-06,Promotion
EMP-0045,188000,148000,168000,188000,2023-09-01,Market Adjustment
EMP-0045,213500,188000,208000,228000,2023-12-03,Promotion
EMP-0045,222500,194000,214500,235000,2024-01-15,Annual Review
EMP-0045,231500,198000,219000,240000,2025-01-15,Annual Review
EMP-0046,134000,105500,119500,134000,2021-05-27,New Hire
EMP-0046,140000,110500,125000,140000,2022-01-15,Annual Review
EMP-0046,160500,144500,159500,176000,2023-04-29,Promotion
EMP-0046,170500,144500,159500,176000,2023-09-01,Market Adjustment
EMP-0046,177500,149000,164500,181500,2024-01-15,Annual Review
EMP-0046,185000,152000,168000,185000,2025-01-15,Annual Review
EMP-0047,78500,64500,75500,86500,2022-08-29,New Hire
EMP-0048,111500,97000,112000,127500,2021-08-19,New Hire
EMP-0048,114500,104500,121000,138000,2023-01-15,Annual Review
EMP-0049,147000,121500,141000,160000,2022-11-26,New Hire
EMP-005,460000,334500,397000,460000,2023-09-15,New Hire
EMP-005,481000,352000,418000,484000,2025-01-15,Annual Review
EMP-0050,90500,78000,89500,101000,2022-01-24,New Hire
EMP-0050,94000,81000,92500,104500,2023-01-15,Annual Review
EMP-0051,81500,68500,79000,90000,2021-10-24,New Hire
EMP-0051,84500,74000,85500,97000,2023-01-15,Annual Review
EMP-0052,80000,72000,83000,94000,2022-05-06,New Hire
EMP-0052,82500,74000,85500,97000,2023-01-15,Annual Review
EMP-0053,102000,87500,100500,113000,2022-02-06,New Hire
EMP-0053,104500,90000,103500,117000,2023-01-15,Annual Review
EMP-0054,59500,51500,59500,67500,2021-10-20,New Hire
EMP-0054,61500,55500,64000,72500,2023-01-15,Annual Review
EMP-0055,62000,51500,59500,67500,2021-09-16,New Hire
EMP-0055,63500,55500,64000,72500,2023-01-15,Annual Review
EMP-0056,127500,113000,131000,149000,2022-07-05,New Hire
EMP-0056,131000,117000,135500,154000,2023-01-15,Annual Review
EMP-0057,96000,83500,96000,108000,2021-05-04,New Hire
EMP-0057,99000,87500,100500,113000,2022-01-15,Annual Review
EMP-0057,102000,90000,103500,117000,2023-01-15,Annual Review
EMP-0058,111500,94000,107500,121500,2022-05-25,New Hire
EMP-0058,114500,97000,111000,125500,2023-01-15,Annual Review
EMP-0059,131500,108000,125500,142500,2021-09-05,New Hire
EMP-0059,136500,117000,135500,154000,2023-01-15,Annual Review
EMP-006,397000,289000,343000,397000,2023-10-01,New Hire
EMP-006,416500,304000,361000,418000,2025-01-15,Annual Review
EMP-0060,120500,108000,125500,142500,2021-08-30,New Hire
EMP-0060,125500,117000,135500,154000,2023-01-15,Annual Review
EMP-0061,134000,121500,141000,160000,2022-07-08,New Hire
EMP-0061,139000,125500,145500,165500,2023-01-15,Annual Review
EMP-0062,106500,89000,103000,117000,2021-06-19,New Hire
EMP-0062,110000,93000,107500,122500,2022-01-15,Annual Review
EMP-0062,113500,96000,111000,126500,2023-01-15,Annual Review
EMP-0063,109000,94000,107500,121500,2022-08-25,New Hire
EMP-0064,79000,68500,79000,89000,2021-08-30,New Hire
EMP-0064,82000,74000,85500,96000,2023-01-15,Annual Review
EMP-0065,116500,97000,112000,127500,2021-05-10,New Hire
EMP-0065,119500,101000,117500,133500,2022-01-15,Annual Review
EMP-0065,123000,104500,121000,138000,2023-01-15,Annual Review
EMP-0066,72000,60500,69000,77500,2022-04-22,New Hire
EMP-0066,73500,62500,71000,80000,2023-01-15,Annual Review
EMP-0067,114500,97000,112000,127500,2021-11-11,New Hire
EMP-0067,119000,104500,121000,138000,2023-01-15,Annual Review
EMP-0068,79000,66000,76500,87000,2021-04-09,New Hire
EMP-0068,81000,69000,80000,91000,2022-01-15,Annual Review
EMP-0068,83500,71000,82500,94000,2023-01-15,Annual Review
EMP-0069,50000,43000,49500,56000,2021-09-15,New Hire
EMP-0069,51500,46500,53500,60500,2023-01-15,Annual Review
EMP-007,326500,255000,290500,326500,2020-06-01,New Hire
EMP-007,338000,264000,301000,338000,2021-01-15,Annual Review
EMP-007,353500,276000,314500,353500,2022-01-15,Annual Review
EMP-007,365000,285000,325000,365000,2023-01-15,Annual Review
EMP-007,376500,294000,335000,376500,2024-01-15,Annual Review
EMP-007,384000,300000,342000,384000,2025-01-15,Annual Review
EMP-0070,60000,50500,57500,64500,2022-10-01,New Hire
EMP-0071,54500,48500,55000,61500,2021-10-25,New Hire
EMP-0071,56500,52000,59500,66500,2023-01-15,Annual Review
EMP-0072,114000,101000,117500,133500,2022-02-03,New Hire
EMP-0072,116500,104500,121000,138000,2023-01-15,Annual Review
EMP-0073,130000,113000,131000,149000,2022-08-08,New Hire
EMP-0074,78500,68500,79000,90000,2021-10-25,New Hire
EMP-0074,80500,74000,85500,97000,2023-01-15,Annual Review
EMP-0075,69000,60000,69000,78000,2022-02-24,New Hire
EMP-0075,71000,62000,71000,81000,2023-01-15,Annual Review
EMP-0076,82000,70500,81000,91000,2022-09-30,New Hire
EMP-0077,135000,116000,134500,153000,2021-03-05,New Hire
EMP-0077,139000,121500,141000,160000,2022-01-15,Annual Review
EMP-0077,142500,125500,145500,165500,2023-01-15,Annual Review
EMP-0078,87500,77500,90000,102000,2021-04-18,New Hire
EMP-0078,90000,81000,94000,106500,2022-01-15,Annual Review
EMP-0078,92500,83500,97000,110000,2023-01-15,Annual Review
EMP-0079,122000,101000,117500,133500,2022-05-18,New Hire
EMP-0079,126000,104500,121000,138000,2023-01-15,Annual Review
EMP-008,338000,264000,301000,338000,2021-03-01,New Hire
EMP-008,353500,276000,314500,353500,2022-01-15,Annual Review
EMP-008,365000,285000,325000,365000,2023-01-15,Annual Review
EMP-008,376500,294000,335000,376500,2024-01-15,Annual Review
EMP-008,384000,300000,342000,384000,2025-01-15,Annual Review
EMP-0080,87000,72000,83000,94000,2022-07-27,New Hire
EMP-0081,113000,101000,117500,133500,2022-07-23,New Hire
EMP-0082,83500,72000,83000,94000,2022-11-04,New Hire
EMP-0083,117500,97000,112000,127500,2021-11-23,New Hire
EMP-0083,121000,104500,121000,138000,2023-01-15,Annual Review
EMP-0084,97000,86500,99500,112000,2022-03-23,New Hire
EMP-0084,100500,89500,102500,116000,2023-01-15,Annual Review
EMP-0085,129000,110500,129000,146500,2022-09-24,New Hire
EMP-0086,82500,68500,79000,89000,2021-12-08,New Hire
EMP-0086,85000,74000,85500,96000,2023-01-15,Annual Review
EMP-0087,56500,50500,57500,64500,2022-07-23,New Hire
EMP-0088,83500,72000,83000,93000,2022-08-09,New Hire
EMP-0089,74500,66000,76500,86500,2022-11-15,New Hire
EMP-009,294500,230000,262000,294500,2022-04-01,New Hire
EMP-009,304000,237500,271000,304000,2023-01-15,Annual Review
EMP-009,313500,245000,279500,313500,2024-01-15,Annual Review
EMP-009,320000,250000,285000,320000,2025-01-15,Annual Review
EMP-0090,82000,72000,83000,94000,2022-08-24,New Hire
EMP-0091,75500,64500,75500,86500,2022-06-16,New Hire
EMP-0091,78000,66500,78000,89500,2023-01-15,Annual Review
EMP-0092,105000,90000,103000,116000,2021-09-15,New Hire
EMP-0092,109000,97000,111000,125500,2023-01-15,Annual Review
EMP-0093,82500,72000,83000,94000,2022-12-23,New Hire
EMP-0094,105000,89000,103000,117000,2021-10-22,New Hire
EMP-0094,107500,96000,111000,126500,2023-01-15,Annual Review
EMP-0095,61500,51500,59500,67500,2021-04-15,New Hire
EMP-0095,63000,54000,62000,70500,2022-01-15,Annual Review
EMP-0095,65000,55500,64000,72500,2023-01-15,Annual Review
EMP-0096,83500,75000,86000,97000,2021-10-08,New Hire
EMP-0096,86000,81000,92500,104500,2023-01-15,Annual Review
EMP-0097,80500,68500,79000,90000,2021-05-20,New Hire
EMP-0097,82500,72000,83000,94000,2022-01-15,Annual Review
EMP-0097,85500,74000,85500,97000,2023-01-15,Annual Review
EMP-0098,77500,68500,79000,90000,2021-09-10,New Hire
EMP-0098,79500,74000,85500,97000,2023-01-15,Annual Review
EMP-0099,73000,64500,75500,86500,2022-03-28,New Hire
EMP-0099,75500,66500,78000,89500,2023-01-15,Annual Review
EMP-010,267500,209500,238500,267500,2021-09-01,New Hire
EMP-010,280500,226000,257500,289000,2023-01-15,Annual Review
EMP-010,289000,226000,257500,289000,2023-09-01,Market Adjustment
EMP-010,298000,233000,265500,298000,2024-01-15,Annual Review
EMP-010,304000,238000,271000,304000,2025-01-15,Annual Review
EMP-0100,64000,57000,66000,75000,2021-07-08,New Hire
EMP-0100,66500,60000,69000,78000,2022-01-15,Annual Review
EMP-0100,69000,62000,71000,81000,2023-01-15,Annual Review
EMP-0101,78000,67500,77500,87000,2021-12-07,New Hire
EMP-0101,80500,72500,83500,94000,2023-01-15,Annual Review
EMP-0102,81000,70500,81000,91000,2022-06-14,New Hire
EMP-0102,82500,72500,83500,94000,2023-01-15,Annual Review
EMP-0103,77500,64500,75500,86500,2022-11-20,New Hire
EMP-0104,103000,87500,100500,113000,2022-03-08,New Hire
EMP-0104,105500,90000,103500,117000,2023-01-15,Annual Review
EMP-0105,102000,94000,107500,121500,2022-07-11,New Hire
EMP-0105,105500,97000,111000,125500,2023-01-15,Annual Review
EMP-0106,89000,77500,90000,102000,2021-07-10,New Hire
EMP-0106,91500,81000,94000,106500,2022-01-15,Annual Review
EMP-0106,93500,83500,97000,110000,2023-01-15,Annual Review
EMP-0107,91000,78000,89500,101000,2022-05-05,New Hire
EMP-0107,94500,81000,92500,104500,2023-01-15,Annual Review
EMP-0108,97000,82500,96000,109000,2021-10-22,New Hire
EMP-0108,100500,89500,103500,118000,2023-01-15,Annual Review
EMP-0109,136500,116000,134500,153000,2021-08-04,New Hire
EMP-0109,142000,125500,145500,165500,2023-01-15,Annual Review
EMP-011,264000,209500,238500,267500,2021-07-01,New Hire
EMP-011,276000,219000,249500,279500,2022-01-15,Annual Review
EMP-011,287000,226000,257500,289000,2023-01-15,Annual Review
EMP-011,289000,226000,257500,289000,2023-09-01,Market Adjustment
EMP-011,298000,233000,265500,298000,2024-01-15,Annual Review
EMP-011,304000,238000,271000,304000,2025-01-15,Annual Review
EMP-0110,129500,116000,134500,153000,2021-08-26,New Hire
EMP-0110,134000,125500,145500,165500,2023-01-15,Annual Review
EMP-0111,64500,54000,62000,70500,2022-01-22,New Hire
EMP-0111,66500,55500,64000,72500,2023-01-15,Annual Review
EMP-0112,108000,94000,107500,121500,2022-05-21,New Hire
EMP-0112,112000,97000,111000,125500,2023-01-15,Annual Review
EMP-0113,73000,66000,76500,87000,2021-07-07,New Hire
EMP-0113,74500,69000,80000,91000,2022-01-15,Annual Review
EMP-0113,77000,71000,82500,94000,2023-01-15,Annual Review
EMP-0114,79500,66000,77000,88000,2021-06-22,New Hire
EMP-0114,82500,69000,80500,92000,2022-01-15,Annual Review
EMP-0114,84500,71000,83000,95000,2023-01-15,Annual Review
EMP-0115,105500,90000,103000,116000,2021-12-06,New Hire
EMP-0115,108000,97000,111000,125500,2023-01-15,Annual Review
EMP-0116,84500,70500,81000,91000,2022-04-22,New Hire
EMP-0116,87000,72500,83500,94000,2023-01-15,Annual Review
EMP-0117,59000,51500,59500,67500,2021-03-11,New Hire
EMP-0117,60500,54000,62000,70500,2022-01-15,Annual Review
EMP-0117,62000,55500,64000,72500,2023-01-15,Annual Review
EMP-0118,105000,92500,106500,121500,2021-12-08,New Hire
EMP-0118,107000,100000,115000,131000,2023-01-15,Annual Review
EMP-0119,74500,63500,73000,82500,2021-08-21,New Hire
EMP-0119,77500,68500,79000,89500,2023-01-15,Annual Review
EMP-012,267500,209500,238500,267500,2021-08-01,New Hire
EMP-012,280000,226000,257500,289000,2023-01-15,Annual Review
EMP-012,289000,226000,257500,289000,2023-09-01,Market Adjustment
EMP-012,298000,233000,265500,298000,2024-01-15,Annual Review
EMP-012,304000,238000,271000,304000,2025-01-15,Annual Review
EMP-0120,79000,69000,80500,92000,2022-02-21,New Hire
EMP-0120,81500,71000,83000,95000,2023-01-15,Annual Review
EMP-0121,90500,78000,89000,100500,2022-06-15,New Hire
EMP-0121,94000,81000,92000,103500,2023-01-15,Annual Review
EMP-0122,86000,66000,76500,86500,2022-03-27,New Hire
EMP-0122,89500,68500,79000,89500,2023-09-01,Market Adjustment
EMP-0122,100500,89500,103500,118000,2023-09-28,Promotion
EMP-0122,105500,92000,107000,121500,2024-01-15,Annual Review
EMP-0122,110500,94000,109000,124000,2025-01-15,Annual Review
EMP-0123,96000,75000,86000,97000,2021-11-28,New Hire
EMP-0123,100000,81000,92500,104500,2023-01-15,Annual Review
EMP-0123,103000,79500,91000,103000,2024-01-15,Annual Review
EMP-0123,105000,81000,93000,105000,2025-01-15,Annual Review
EMP-0124,154000,121500,141000,160000,2021-08-21,New Hire
EMP-0124,169500,148000,168000,188000,2023-06-11,Promotion
EMP-0124,180000,148000,168000,188000,2023-09-01,Market Adjustment
EMP-0124,188500,153000,173500,194000,2024-01-15,Annual Review
EMP-0124,196000,156000,177000,198000,2025-01-15,Annual Review
EMP-0125,119500,97000,112000,127500,2021-08-07,New Hire
EMP-0125,131500,111000,126500,141500,2023-06-04,Promotion
EMP-0125,141000,111000,126500,141500,2023-09-01,Market Adjustment
EMP-0125,146000,114500,130500,146000,2024-01-15,Annual Review
EMP-0125,149000,117000,133000,149000,2025-01-15,Annual Review
EMP-0126,122500,93000,107500,122500,2022-04-06,New Hire
EMP-0126,126500,96000,111000,126500,2023-09-01,Market Adjustment
EMP-0126,140000,111000,126500,141500,2023-10-03,Promotion
EMP-0126,146000,114500,130500,146000,2024-01-15,Annual Review
EMP-0126,149000,117000,133000,149000,2025-01-15,Annual Review
EMP-0127,137500,111500,129000,146500,2022-01-23,New Hire
EMP-0127,156000,136000,154000,172500,2023-08-27,Promotion
EMP-0127,165500,136000,154000,172500,2023-09-01,Market Adjustment
EMP-0127,173000,140000,159000,178000,2024-01-15,Annual Review
EMP-0127,180500,143000,162000,181500,2025-01-15,Annual Review
EMP-0128,121000,94000,107500,121500,2022-12-20,New Hire
EMP-0128,125500,97000,111000,125500,2023-09-01,Market Adjustment
EMP-0128,142500,135000,157000,178500,2024-02-09,Promotion
EMP-0128,149500,138000,160000,182000,2025-01-15,Annual Review
EMP-0129,114500,94000,107500,121500,2022-07-11,New Hire
EMP-0129,121500,97000,111000,125500,2023-09-01,Market Adjustment
EMP-0129,139000,125500,145500,165500,2023-11-20,Promotion
EMP-0129,146000,129500,150000,170500,2024-01-15,Annual Review
EMP-0129,152500,132000,153000,174000,2025-01-15,Annual Review
EMP-013,264000,211000,237500,264000,2021-01-15,New Hire
EMP-013,274500,221000,248500,276000,2022-01-15,Annual Review
EMP-013,285000,228000,256500,285000,2023-01-15,Annual Review
EMP-013,294000,235000,264500,294000,2024-01-15,Annual Review
EMP-013,300000,240000,270000,300000,2025-01-15,Annual Review
EMP-0130,149500,116000,134500,153000,2021-11-03,New Hire
EMP-0130,170500,148000,168000,188000,2023-07-18,Promotion
EMP-0130,181000,148000,168000,188000,2023-09-01,Market Adjustment
EMP-0130,189000,153000,173500,194000,2024-01-15,Annual Review
EMP-0130,198000,156000,177000,198000,2025-01-15,Annual Review
EMP-0131,107500,87500,100500,113000,2022-12-17,New Hire
EMP-0131,114500,90000,103500,117000,2023-09-01,Market Adjustment
EMP-0131,119000,93000,107000,120500,2024-01-15,Annual Review
EMP-0131,123000,95000,109000,123000,2025-01-15,Annual Review
EMP-0132,97000,78000,89500,101000,2022-06-05,New Hire
EMP-0132,101500,81000,92500,104500,2023-01-15,Annual Review
EMP-0132,104500,81000,92500,104500,2023-09-01,Market Adjustment
EMP-0132,108000,83500,95500,108000,2024-01-15,Annual Review
EMP-0132,110000,85000,97500,110000,2025-01-15,Annual Review
EMP-0133,166500,127000,147000,167500,2022-03-10,New Hire
EMP-0133,187000,172000,195500,220500,2023-03-17,Promotion
EMP-0133,198000,172000,195500,220500,2023-09-01,Market Adjustment
EMP-0133,226500,226500,248000,269500,2024-03-23,Promotion
EMP-0133,236000,231000,253000,275000,2025-01-15,Annual Review
EMP-0134,149000,116000,134500,153000,2021-02-26,New Hire
EMP-0134,169500,143500,163000,182000,2022-07-09,Promotion
EMP-0134,178000,148000,168000,188000,2023-09-01,Market Adjustment
EMP-0134,203000,188000,208000,228000,2023-11-19,Promotion
EMP-0134,211000,194000,214500,235000,2024-01-15,Annual Review
EMP-0134,221500,198000,219000,240000,2025-01-15,Annual Review
EMP-0135,124000,96500,111500,127000,2022-08-27,New Hire
EMP-0135,131000,100000,115000,131000,2023-09-01,Market Adjustment
EMP-0135,135000,103000,118500,135000,2024-01-15,Annual Review
